Location name,Amount spent (PYG)
Alto Paraguay Department,298952
Alto Paraná Department,27344661
Amambay Department,2999057
Asunción,24515574
Boquerón department,1311225
Caaguazú Department,10594171
Caazapá Department,1840727
Canindeyú Department,2813771
Central Department,65836279
Concepción Department (Paraguay),3163474
Cordillera Department,6232901
Guairá Department,3468279
Itapúa Department,12239642
Misiones Department,3398597
Paraguarí Department,2836010
Presidente Hayes Department,1682876
San Pedro Department,3541734
Unknown,24763
Ñeembucú Department,2418794
