Location name,Amount spent (THB)
Amnat Charoen,155
Ang Thong,104
Ayutthaya,684
Bangkok,21058
Bueng Kan,128
Buriram,475
Chachoengsao,666
Chai Nat,130
Chaiyaphum,305
Chanthaburi,283
Chiang Mai,2631
Chiang Rai,480
Chon Buri,3549
Chumphon,596
Kalasin,321
Kamphaeng Phet,290
Kanchanaburi,474
Khon Kaen,840
Krabi,435
Lampang,436
Lamphun,185
Loei,325
Lop Buri,281
Mae Hong Son,168
Maha Sarakham,326
Mukdahan,146
Nakhon Nayok,114
Nakhon Pathom,855
Nakhon Phanom,485
Nakhon Ratchasima,1078
Nakhon Sawan,410
Nakhon Si Thammarat,2367
Nan,445
Narathiwat,317
Nong Bua Lam Phu,183
Nong Khai,190
Nonthaburi,1002
Pathum Thani,1057
Pattani,544
Phangnga,326
Phatthalung,574
Phayao,435
Phetchabun,296
Phetchaburi,608
Phichit,496
Phitsanulok,5276
Phrae,501
Phuket,2839
Prachin Buri,254
Prachuap Khiri Khan,481
Ranong,190
Ratchaburi,508
Rayong,555
Roi Et,408
Sa Kaeo,191
Sakon Nakhon,438
Samut Prakan,724
Samut Sakhon,818
Samut Songkhram,351
Saraburi,349
Satun,245
Sing Buri,≤100
Sisaket,465
Songkhla,1913
Sukhothai,538
Suphan Buri,329
Surat Thani,9621
Surin,436
Tak,312
Trang,894
Trat,107
Ubon Ratchathani,821
Udon Thani,512
Unknown,≤100
Uthai Thani,115
Uttaradit,869
Yala Province,380
Yasothon,205
