Location name,Amount spent (AUD)
Australian Capital Territory,984
Jervis Bay Territory,≤100
New South Wales,9498
Northern Territory,201
Queensland,5986
South Australia,1912
Tasmania,701
Unknown,≤100
Victoria,5990
Western Australia,2914
