Location name,Amount spent (QAR)
Al Daayen,≤100
Al Khor,≤100
Al Rayyan,≤100
Al Wakrah,≤100
Doha,178
Madinat ash Shamal,≤100
Umm Salal,≤100
Unknown,≤100
