Location name,Amount spent (ISK)
Capital Region,35651
Eastern Region,1948
Northeastern Region,3838
Northwestern Region,774
Southern Peninsula,2937
Southern Region,3909
Unknown,≤100
Western Region,1023
Westfjords,997
