Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,263
Apurímac Region,109
Arequipa Region,347
Ayacucho Region,261
Cajamarca Region,239
Callao,111
Cusco Region,340
Huancavelica Region,≤100
Huánuco Region,142
Ica Region,222
Junín Region,281
La Libertad Region,362
Lambayeque Region,244
Lima Region,1938
Loreto Region,158
Madre de Dios Region,119
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,778
Puno Region,343
San Martín Region,178
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,124
Unknown,≤100
