Location name,Amount spent (ZAR)
Eastern Cape,1815
Free State,1213
Gauteng,7761
KwaZulu-Natal,2941
Limpopo,1156
Mpumalanga,1244
North West,874
Northern Cape,492
Unknown,≤100
Western Cape,14663
