Location name,Amount spent (EGP)
Al Sharqia Governorate,1733
Alexandria Governorate,701
Aswan Governorate,118
Asyut Governorate,233
Beheira Governorate,383
Beni Suef Governorate,213
Cairo Governorate,2124
Dakahlia Governorate,852
Damietta Governorate,265
Faiyum Governorate,349
Gharbia Governorate,863
Giza Governorate,782
Ismailia Governorate,522
Kafr el-Sheikh Governorate,421
Luxor Governorate,≤100
Matrouh Governorate,≤100
Minya Governorate,448
Monufia Governorate,452
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,364
Qalyubia Governorate,752
Qena Governorate,184
Red Sea Governorate,≤100
Sohag Governorate,253
South Sinai Governorate,≤100
Suez Governorate,≤100
Unknown,≤100
