Location name,Amount spent (PKR)
Azad Kashmir,921
Balochistan,1243
Federally Administered Tribal Areas,265
Gilgit-Baltistan,356
Islamabad Capital Territory,2084
Khyber Pakhtunkhwa,8138
Punjab,47351
Sindh,13405
Unknown,≤100
