Location name,Amount spent (ZAR)
Eastern Cape,1111
Free State,684
Gauteng,5569
KwaZulu-Natal,1537
Limpopo,1002
Mpumalanga,1009
North West,549
Northern Cape,1026
Unknown,≤100
Western Cape,8231
