Location name,Amount spent (RON)
Alba County,2082
Arad County,2523
Argeș County,2638
Bacău County,2931
Bihor County,2759
Bistrița-Năsăud County,1735
Botoșani County,1916
Brașov County,3279
Brăila County,1666
Bucharest,11891
Buzău County,1174
Caraș-Severin County,867
Cluj County,3284
Constanța County,2538
Covasna County,703
Călărași County,672
Dolj County,2033
Dâmbovița County,1363
Galați County,1544
Giurgiu County,655
Gorj County,1067
Harghita County,949
Hunedoara County,1587
Ialomița County,599
Iași County,5079
Ilfov County,1668
Maramureș County,1515
Mehedinți County,931
Mureș County,2348
Neamț County,1383
Olt County,968
Prahova County,2517
Satu Mare County,999
Sibiu County,1858
Suceava County,1902
Sălaj County,651
Teleorman County,744
Timiș County,3834
Tulcea County,573
Unknown,≤100
Vaslui County,1056
Vrancea County,1011
Vâlcea County,1033
