Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,≤100
Apurímac Region,123
Arequipa Region,668
Ayacucho Region,≤100
Cajamarca Region,≤100
Callao,153
Cusco Region,419
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,≤100
Junín Region,≤100
La Libertad Region,113
Lambayeque Region,≤100
Lima Region,3543
Loreto Region,≤100
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,143
Puno Region,≤100
San Martín Region,≤100
Tacna Region,147
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
