Location name,Amount spent (EUR)
Andrijevica Municipality,≤100
Bar Municipality,385
Berane Municipality,≤100
Bijelo Polje Municipality,399
Budva Municipality,365
Danilovgrad Municipality,194
Herceg Novi Municipality,247
Kolašin Municipality,143
Nikšić Municipality,627
Old Royal Capital Cetinje,177
Petnjica Municipality,≤100
Plav Municipality,133
Pljevlja Municipality,310
Plužine Municipality,≤100
Podgorica Capital City,2289
Rožaje Municipality,267
Tivat Municipality,331
Ulcinj Municipality,486
Unknown,≤100
Šavnik Municipality,≤100
Žabljak Municipality,≤100
