Location name,Amount spent (AUD)
Australian Capital Territory,894
Jervis Bay Territory,≤100
New South Wales,21050
Norfolk Island,≤100
Northern Territory,485
Queensland,14506
South Australia,5143
Tasmania,1792
Unknown,≤100
Victoria,29855
Western Australia,6960
