Location name,Amount spent (PYG)
Alto Paraguay Department,11572
Alto Paraná Department,1499146
Amambay Department,337355
Asunción,1687144
Boquerón department,67418
Caaguazú Department,693512
Caazapá Department,114037
Canindeyú Department,140032
Central Department,5163141
Concepción Department (Paraguay),182610
Cordillera Department,333120
Guairá Department,116462
Itapúa Department,658527
Misiones Department,163120
Paraguarí Department,136334
Presidente Hayes Department,101368
San Pedro Department,199781
Unknown,1069
Ñeembucú Department,72351
