Location name,Amount spent (TRY)
Adana Province,1318
Adıyaman Province,≤100
Afyonkarahisar Province,198
Aksaray Province,217
Amasya Province,≤100
Ankara Province,1870
Antalya Province,1326
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,461
Ağrı Province,≤100
Balıkesir Province,389
Bartın Province,≤100
Batman Province,110
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,≤100
Bursa Province,1190
Denizli Province,396
Diyarbakır Province,187
Düzce Province,113
Edirne Province,≤100
Elazığ Province,112
Erzincan Province,≤100
Erzurum Province,110
Eskişehir Province,385
Gaziantep Province,490
Giresun Province,158
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,507
Isparta Province,310
Istanbul Province,9410
Iğdır Province,≤100
Kahramanmaraş Province,240
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,412
Kilis Province,≤100
Kocaeli Province,461
Konya Province,650
Kütahya Province,152
Kırklareli Province,≤100
Kırıkkale Province,≤100
Kırşehir Province,≤100
Malatya Province,116
Manisa Province,490
Mardin Province,140
Mersin Province,575
Muğla Province,469
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,250
Osmaniye Province,184
Rize Province,115
Sakarya Province,165
Samsun Province,564
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,147
Tekirdağ Province,487
Tokat Province,129
Trabzon Province,243
Tunceli Province,≤100
Unknown,≤100
Uşak Province,118
Van Province,122
Yalova Province,≤100
Yozgat Province,≤100
Zonguldak Province,151
Çanakkale Province,189
Çankırı Province,≤100
Çorum Province,150
İzmir Province,2597
Şanlıurfa Province,278
Şırnak Province,≤100
