Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,357
Cerro Largo Department,≤100
Colonia Department,≤100
Durazno Department,169
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,≤100
Montevideo Department,3073
Paysandú Department,739
Rivera Department,808
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,≤100
San José Department,≤100
Soriano Department,158
Tacuarembó Department,≤100
Treinta y Tres Department,≤100
Unknown,≤100
