Location name,Amount spent (PKR)
Azad Kashmir,1699
Balochistan,5455
Federally Administered Tribal Areas,538
Gilgit-Baltistan,751
Islamabad Capital Territory,3389
Khyber Pakhtunkhwa,11236
Punjab,53239
Sindh,14926
Unknown,≤100
