Page ID,Page name,Disclaimer,Amount spent (DKK),Number of ads in Library
38507331439,Danmarks Naturfredningsforening,Danmarks Naturfredningsforening,8233,44
1507997959501973,Landbrug & Fødevarer,Landbrug & Fødevarer,7566,27
65929129383,Røde Kors,Røde Kors,4760,40
399210657232918,PlanBørnefonden,PlanBørnefonden,4588,11
55365680705,Greenpeace Danmark,Greenpeace Danmark,3929,34
72672361910,Børns Vilkår,Børns Vilkår,3920,7
153151900930,Ungdommens Røde Kors,Ungdommens Røde Kors,3756,1
350495955072656,Klimabevægelsen i Danmark,Klimabevægelsen i Danmark,3381,5
26458152911,SOS Børnebyerne,SOS Børnebyerne,3294,28
116269191760882,DSB,DSB,3236,6
250994288337708,Sex og Samfund,Sex og Samfund,3181,18
122074554119,EU Social,EU Social,3079,7
154415494575789,IDA,IDA,2945,16
12860228293,Politiken,Politiken,2630,39
105511328705392,HØRT,Børns Vilkår,2622,4
132344416862423,FOA,FOA,2495,8
5624899398,Mellemfolkeligt Samvirke,Mellemfolkeligt Samvirke,2487,5
276770505228,Folkekirkens Nødhjælp,Folkekirkens Nødhjælp,2372,3
748887235210811,Obton Forvaltning A/S,Obton Forvaltning A/S,2120,16
12787473132,Berlingske,Berlingske,1930,33
671022293105597,Alex Vanopslagh,Alex Vanopslagh,1904,52
121570596369,CARE Danmark,CARE i Danmark,1780,6
110321008383861,Red Barnets landsindsamling,Red Barnet,1749,133
155596147784577,WWF Verdensnaturfonden,WWF Verdensnaturfonden,1674,18
100423681446198,Virksomhedsguiden,Erhvervsstyrelsen,1603,20
20303574131,Nationalmuseet,Nationalmuseet,1573,15
116227401722605,Dansk Flygtningehjælp,Dansk Flygtningehjælp,1471,69
126543540781090,Ældre Sagen,Ældre Sagen,1462,28
645454495955240,Madmødet,Madmødet,1418,28
304554445813,Videncentret Bolius,Videncentret Bolius,1321,14
867877683280051,Weekendavisen,Weekendavisen,1308,20
261599053881378,Fagbevægelsens Hovedorganisation,Fagbevægelsens Hovedorganisation,1132,8
1033120613483808,AURA,AURA,1058,3
144965885963,Oxfam IBIS - Sammen mod ulighed,Oxfam Danmark,1030,6
200709746630443,Dyrenes Beskyttelse,Dyrenes Beskyttelse,952,1
369336273158091,Land of Hope,Land of Hope,937,10
133707013355759,Danner,Danner,925,1
102154048301476,Lederstof.dk,Lederne,816,19
