Location name,Amount spent (PLN)
Greater Poland Voivodeship,3977
Kuyavian-Pomeranian Voivodeship,2470
Lesser Poland Voivodeship,4483
Lower Silesian Voivodeship,3667
Lublin Voivodeship,1888
Lubusz Voivodeship,938
Masovian Voivodeship,7038
Opole Voivodeship,801
Podkarpackie Voivodeship,1602
Podlaskie Voivodeship,1240
Pomeranian Voivodeship,2976
Silesian Voivodeship,4167
Unknown,≤100
Warmian-Masurian Voivodeship,1264
West Pomeranian Voivodeship,1802
Łódź Voivodeship,2788
Świętokrzyskie Voivodeship,1017
