Location name,Amount spent (JPY)
Aichi Prefecture,34098
Akita Prefecture,3081
Aomori Prefecture,3566
Chiba Prefecture,32443
Ehime Prefecture,4457
Fukui Prefecture,5667
Fukuoka Prefecture,40284
Fukushima Prefecture,5878
Gifu Prefecture,11457
Gunma Prefecture,6424
Hiroshima Prefecture,11651
Hokkaido,23322
Hyōgo Prefecture,23986
Ibaraki Prefecture,9698
Ishikawa Prefecture,5363
Iwate Prefecture,3926
Kagawa Prefecture,4582
Kagoshima Prefecture,5275
Kanagawa Prefecture,63418
Kumamoto Prefecture,8867
Kyoto Prefecture,15716
Kōchi Prefecture,2156
Mie Prefecture,6922
Miyagi Prefecture,15095
Miyazaki Prefecture,4517
Nagano Prefecture,8702
Nagasaki Prefecture,6425
Nara Prefecture,5787
Niigata Prefecture,7344
Okayama Prefecture,16315
Okinawa Prefecture,10143
Osaka Prefecture,39863
Saga Prefecture,4267
Saitama Prefecture,33132
Shiga Prefecture,6081
Shimane Prefecture,3804
Shizuoka Prefecture,13912
Tochigi Prefecture,6153
Tokushima Prefecture,3073
Tokyo,126104
Tottori Prefecture,1600
Toyama Prefecture,3346
Unknown,≤100
Wakayama Prefecture,4715
Yamagata Prefecture,3802
Yamaguchi Prefecture,4739
Yamanashi Prefecture,3677
Ōita Prefecture,7232
