Location name,Amount spent (HUF)
Baranya County,105411
Borsod-Abaúj-Zemplén County,163129
Budapest,1049162
Bács-Kiskun County,145736
Békés County,94961
Csongrád County,146738
Fejér County,121983
Győr-Moson-Sopron County,142141
Hajdú-Bihar County,146937
Heves County,83883
Jász-Nagykun-Szolnok County,101482
Komárom-Esztergom County,95792
Nógrád County,45321
Pest County,320406
Somogy County,83224
Szabolcs-Szatmár-Bereg County,133619
Tolna County,57604
Unknown,129
Vas County,71856
Veszprém County,93726
Zala County,85670
