Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
341486659645594,FDP Fraktion Bundestag,Fraktion der Freien Demokraten im Deutschen Bundestag,4330,18
511785248971976,"Bundesministerium für Familie, Senioren, Frauen und Jugend","Bundesministerium für Familie, Senioren, Frauen und Jugend",3819,17
23216224900,Plan International Deutschland,Plan International Deutschland e.V.,3359,6
236934790401,UNO-Flüchtlingshilfe,UNO-Flüchtlingshilfe,2697,79
1578640155687393,Sea-Watch,Sea-Watch,2366,26
218786540044,WWF Deutschland,WWF Deutschland,2180,27
112369170621210,Deutschland spricht über 5G,"Dialoginitiative ""Deutschland spricht über 5G""",2093,2
263503200272,Welthungerhilfe,Welthungerhilfe,2083,72
170688644503,UNICEF Deutschland,UNICEF Deutschland,1757,21
103919417972272,Unabhängige Beauftragte für Fragen des sexuellen Kindesmissbrauchs,Unabhängiger Beauftragter für Fragen des sexuellen Kindesmissbrauchs,1546,22
139968284118,terre des hommes,terre des hommes,1423,89
718677004826671,Deutsche Umwelthilfe,Deutsche Umwelthilfe,1389,33
178362315106,European Parliament,European Parliament,1382,13
56497026719,SOS-Kinderdörfer weltweit,SOS-Kinderdörfer weltweit Hermann-Gmeiner-Fonds Deutschland e.V.,1314,84
768905426534529,Bundesregierung,Bundesregierung,1260,3
161273245888,Save the Children Deutschland,Save the Children Deutschland,1214,58
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,1145,23
484950398505596,IRC Deutschland,IRC Deutschland,1135,2
261985647756704,AfD im EU-Parlament,AfD im EU-Parlament,1054,2
331832984040,LichtBlick,LichtBlick,1005,47
102169625710148,ClimaClic,Burda Direct GmbH,996,36
152033178165965,Deutsche Bahn Personenverkehr,Deutsche Bahn Personenverkehr,994,1
343364921106,Caritas international,Caritas international,989,280
1808301986138803,Bayerisches Sozialministerium,"Bayerisches Staatsministerium für Familie, Arbeit und Soziales",966,9
1508446642792459,Vattenfall,Vattenfall Deutschland,954,23
136260152219,World Vision Deutschland e.V.,World Vision Deutschland e.V.,951,14
846335975484709,The Generation Forest,The Generation Forest eG,918,45
27352749603,Amnesty International Deutschland,Amnesty International Deutschland,895,41
273454591804,SOS-Kinderdorf Deutschland,SOS-Kinderdorf e.V.,893,6
453150811428411,Mastercard,Mastercard,809,2
