Location name,Amount spent (EGP)
Al Sharqia Governorate,1512
Alexandria Governorate,1754
Aswan Governorate,214
Asyut Governorate,585
Beheira Governorate,683
Beni Suef Governorate,274
Cairo Governorate,4168
Dakahlia Governorate,2049
Damietta Governorate,284
Faiyum Governorate,230
Gharbia Governorate,1135
Giza Governorate,860
Ismailia Governorate,303
Kafr el-Sheikh Governorate,477
Luxor Governorate,167
Matrouh Governorate,≤100
Minya Governorate,584
Monufia Governorate,815
New Valley Governorate,≤100
North Sinai Governorate,101
Port Said Governorate,228
Qalyubia Governorate,850
Qena Governorate,381
Red Sea Governorate,163
Sohag Governorate,635
South Sinai Governorate,≤100
Suez Governorate,170
Unknown,≤100
