Location name,Amount spent (GTQ)
Alta Verapaz Department,766
Baja Verapaz Department,393
Chimaltenango Department,1191
Chiquimula Department,552
El Progreso Department,393
Escuintla Department,1346
Guatemala Department,18933
Huehuetenango Department,1488
Izabal Department,1031
Jalapa Department,460
Jutiapa Department,672
Petén Department,641
Quetzaltenango Department,1856
Quiché Department,1017
Retalhuleu Department,554
Sacatepéquez Department,1157
San Marcos Department,3781
Santa Rosa Department,550
Sololá Department,700
Suchitepéquez Department,820
Totonicapán Department,664
Unknown,≤100
Zacapa Department,384
