Location name,Amount spent (SEK)
Blekinge County,7472
Dalarna County,15475
Gotland County,3940
Gävleborg County,15349
Halland County,17113
Jämtland County,7928
Jönköping County,17232
Kalmar County,11249
Kronoberg County,9174
Norrbotten County,13731
Skåne County,67752
Stockholm County,131814
Södermanland County,15180
Unknown,≤100
Uppsala County,21645
Värmland County,14248
Västerbotten County,14767
Västernorrland County,13422
Västmanland County,13440
Västra Götaland County,106469
Örebro County,15839
Östergötland County,22501
