Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,1367
Bicol Region,4380
Cagayan Valley,2974
Calabarzon,16473
Caraga,3223
Central Luzon,10048
Central Visayas,11010
Cordillera Administrative Region,1803
Davao Region,3891
Eastern Visayas,4896
Ilocos Region,4056
Metro Manila,23587
Mimaropa,3750
Northern Mindanao,5307
Soccsksargen,3784
Unknown,≤100
Western Visayas,6761
Zamboanga Peninsula,4117
