Location name,Amount spent (ZAR)
Eastern Cape,1185
Free State,554
Gauteng,4889
KwaZulu-Natal,1634
Limpopo,472
Mpumalanga,481
North West,429
Northern Cape,205
Unknown,≤100
Western Cape,7885
