Location name,Amount spent (PEN)
Amazonas Region,116
Ancash Region,534
Apurímac Region,152
Arequipa Region,598
Ayacucho Region,292
Cajamarca Region,468
Callao,239
Cusco Region,724
Huancavelica Region,≤100
Huánuco Region,281
Ica Region,1250
Junín Region,504
La Libertad Region,756
Lambayeque Region,533
Lima Region,3748
Loreto Region,319
Madre de Dios Region,143
Moquegua Region,103
Pasco Region,154
Piura Region,868
Puno Region,531
San Martín Region,347
Tacna Region,188
Tumbes Region,122
Ucayali Region,258
Unknown,≤100
