Location name,Amount spent (EUR)
Alsace,458
Aquitaine,943
Auvergne,292
Basse-Normandie,338
Bourgogne,335
Bretagne,850
Centre,559
Champagne-Ardenne,316
Corse,110
Franche-Comté,216
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,443
Languedoc-Roussillon,857
Limousin,163
Lorraine,557
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,694
New Caledonia,≤100
Nord-Pas-de-Calais,902
Pays de la Loire,824
Picardie,441
Poitou-Charentes,432
Provence-Alpes-Côte d'Azur,1863
Reunion Island,≤100
Rhône-Alpes,1504
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,3927
