Location name,Amount spent (JPY)
Aichi Prefecture,36071
Akita Prefecture,3445
Aomori Prefecture,5449
Chiba Prefecture,28416
Ehime Prefecture,4236
Fukui Prefecture,2867
Fukuoka Prefecture,38429
Fukushima Prefecture,6903
Gifu Prefecture,7245
Gunma Prefecture,13871
Hiroshima Prefecture,9600
Hokkaido,24815
Hyōgo Prefecture,21954
Ibaraki Prefecture,9563
Ishikawa Prefecture,4771
Iwate Prefecture,4145
Kagawa Prefecture,5148
Kagoshima Prefecture,4541
Kanagawa Prefecture,53347
Kumamoto Prefecture,6829
Kyoto Prefecture,15707
Kōchi Prefecture,1982
Mie Prefecture,7713
Miyagi Prefecture,15226
Miyazaki Prefecture,3350
Nagano Prefecture,7178
Nagasaki Prefecture,4394
Nara Prefecture,4787
Niigata Prefecture,6797
Okayama Prefecture,6944
Okinawa Prefecture,10748
Osaka Prefecture,44252
Saga Prefecture,2948
Saitama Prefecture,29051
Shiga Prefecture,5611
Shimane Prefecture,1989
Shizuoka Prefecture,13140
Tochigi Prefecture,5943
Tokushima Prefecture,1973
Tokyo,83091
Tottori Prefecture,1490
Toyama Prefecture,3204
Unknown,≤100
Wakayama Prefecture,2995
Yamagata Prefecture,4404
Yamaguchi Prefecture,4825
Yamanashi Prefecture,3471
Ōita Prefecture,5181
