Location name,Amount spent (PYG)
Alto Paraguay Department,1475
Alto Paraná Department,151554
Amambay Department,16017
Asunción,158959
Boquerón department,5728
Caaguazú Department,94447
Caazapá Department,10243
Canindeyú Department,17046
Central Department,534807
Concepción Department (Paraguay),24859
Cordillera Department,67842
Guairá Department,23515
Itapúa Department,52105
Misiones Department,169507
Paraguarí Department,19710
Presidente Hayes Department,9245
San Pedro Department,24703
Unknown,≤100
Ñeembucú Department,26146
