Location name,Amount spent (COP)
Amazonas,3605
Antioquia,7270987
Arauca,39066
Atlantico,1193412
Bolivar,609994
Boyaca,971843
Caldas,551471
Caqueta,210375
Casanare,311356
Cauca,334077
Cesar,240994
Choco,54222
Cordoba,397959
Cundinamarca,958835
Distrito Especial,4174525
Guainia,16936
Guaviare,7025
Huila,877740
La Guajira,79607
Magdalena,183916
Meta,499583
Narino,217877
Norte de Santander,726692
Putumayo,229988
Quindio,149722
Risaralda,1400596
San Andres y Providencia,136778
Santander,1678290
Sucre,146337
Tolima,456234
Unknown,765
Valle del Cauca,3942255
Vaupes,822
Vichada,2419
