Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,2025
Bicol Region,15179
Cagayan Valley,8107
Calabarzon,52745
Caraga,4484
Central Luzon,34940
Central Visayas,18456
Cordillera Administrative Region,4195
Davao Region,9672
Eastern Visayas,8067
Ilocos Region,12209
Metro Manila,81113
Mimaropa,5660
Northern Mindanao,9530
Soccsksargen,8215
Unknown,≤100
Western Visayas,18365
Zamboanga Peninsula,5865
