Location name,Amount spent (AUD)
Australian Capital Territory,2339
Jervis Bay Territory,≤100
New South Wales,14067
Norfolk Island,≤100
Northern Territory,429
Queensland,10365
South Australia,3800
Tasmania,1844
Unknown,≤100
Victoria,12461
Western Australia,6109
