Location name,Amount spent (KES)
Central Province,202
Coast Province,125
Eastern Province,193
Nairobi,1134
North Eastern Province,≤100
Nyanza Province,≤100
Rift Valley Province,251
Unknown,≤100
Western Province,≤100
