Location name,Amount spent (PLN)
Greater Poland Voivodeship,4574
Kuyavian-Pomeranian Voivodeship,2356
Lesser Poland Voivodeship,3727
Lower Silesian Voivodeship,8688
Lublin Voivodeship,2161
Lubusz Voivodeship,1807
Masovian Voivodeship,8995
Opole Voivodeship,1387
Podkarpackie Voivodeship,1847
Podlaskie Voivodeship,1157
Pomeranian Voivodeship,2983
Silesian Voivodeship,5289
Unknown,≤100
Warmian-Masurian Voivodeship,1408
West Pomeranian Voivodeship,2108
Łódź Voivodeship,3880
Świętokrzyskie Voivodeship,1478
