Page ID,Page name,Disclaimer,Amount spent (AUD),Number of ads in Library
102329728050606,Yes23,Yes23,19144,58
101589645013040,Thrive by Five,Thrive By Five,11700,22
9480502970,Greenpeace Australia Pacific,Greenpeace Australia Pacific,5043,383
1622506634677043,Senator Jacinta Nampijinpa Price,Jacinta Nampijinpa Price,4717,48
334563333634959,Australian Government Department of Education,Australian Government Department of Education,4683,7
532962446729390,Australian Families,Department of Social Services,4312,49
112133637214684,Doctors Without Borders / Médecins Sans Frontières (MSF),Médecins Sans Frontières Australia,3273,52
108695110952294,Greens MPs,Greens MPs,2813,24
345960425540557,The Climate Council,The Climate Council,2776,96
351313714891862,Australian Good Meat,Meat & Livestock Australia,2532,11
328245481103110,Senator Alex Antic,Alex Antic,2434,10
125627804305487,Rick Wilson,Rick Wilson,2390,8
299753643444311,AEC,Australian Electoral Commission,2341,2
404948826259784,Senator James McGrath - Fighting for Queensland,Senator James McGrath - Fighting for Queensland,2134,8
516285871759553,Don Farrell,Don Farrell,2003,353
350996037887,Beyond Zero Emissions,Beyond Zero Emissions,1997,35
171208803080734,Simon Birmingham,Simon Birmingham,1943,12
494820897261439,Bank Australia,Bank Australia,1781,52
233539463360143,Mining & Energy Union,CFMEU Mining & Energy,1699,6
182564410468,Australia for UNHCR,Australia for UNHCR,1691,75
1621692424754301,Minderoo Foundation,Minderoo Foundation,1669,9
225761522187219,Turning Point Australia,Turning Point Australia Pty Ltd,1564,82
160054227468,World Vision Australia,World Vision Australia,1475,11
2094721964134949,Senator Paul Scarr,Senator Paul Scarr,1469,7
1776727752614025,Glencore,Glencore Australia,1463,18
161854162881,Greenfleet,Greenfleet,1442,58
148322645565800,Andrew Wallace - LNP Federal Member for Fisher,Andrew Wallace MP,1422,2
104180525925926,Fair Australia,Advance Australia,1154,32
936147539773859,Great Barrier Reef Foundation,Great Barrier Reef Foundation,1109,5
14193666340,Australian Conservation Foundation,Australian Conservation Foundation,1092,35
89794331215,Oxfam,Oxfam Australia,1092,62
471390022952217,APPEA - Our Natural Advantage,APPEA,1059,47
92824008332,Plan International Australia,Plan International Australia,1033,16
157812980921536,Environmental Defenders Office,Environmental Defenders Office,1010,104
