Location name,Amount spent (TWD)
Changhua,9681
Chiayi,1973
Hsinchu,3543
Hsinchu City,5670
Hualien,2439
Kaohsiung,22085
Keelung City,2825
Kinmen,398
Lienchiang,≤100
Miaoli,3212
Nantou,4958
New Taipei City,36963
Penghu,516
Pingtung,4435
Taichung,30307
Tainan,15798
Taipei,28797
Taitung,1433
Taoyuan City,26906
Unknown,3265
Yilan,2454
Yunlin,5636
