Page ID,Page name,Disclaimer,Amount spent (SLL),Number of ads in Library
331095246920291,Sylvia Olayinka Blyden,Blyden Sylvia Olayinka,360000,1
68793499001,UNICEF,These ads ran without a disclaimer,33199,2
338109312883186,China Xinhua News,These ads ran without a disclaimer,4000,2
103225679382638,James Nmaju,These ads ran without a disclaimer,≤100,1
582736375535933,MANO RIVER UNION,These ads ran without a disclaimer,≤100,1
517231405008910,Global Landscapes Forum,These ads ran without a disclaimer,≤100,4
725505594135727,Adventure Escape,These ads ran without a disclaimer,≤100,1
192518364107436,Exness,These ads ran without a disclaimer,≤100,2
103659765532260,華夏focus,These ads ran without a disclaimer,≤100,1
106879367768789,Jessica Zang,These ads ran without a disclaimer,≤100,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
112675286764083,Aggregates Business,These ads ran without a disclaimer,≤100,1
47565718326,Oxford University Press - ELT,These ads ran without a disclaimer,≤100,1
