Location name,Amount spent (COP)
Amazonas,33199
Antioquia,11511750
Arauca,267746
Atlantico,1198978
Bolivar,1496672
Boyaca,1253772
Caldas,532202
Caqueta,546869
Casanare,434949
Cauca,413445
Cesar,412529
Choco,66669
Cordoba,4300011
Cundinamarca,1516679
Distrito Especial,5694877
Guainia,2541
Guaviare,14748
Huila,758688
La Guajira,247052
Magdalena,333915
Meta,550933
Narino,241993
Norte de Santander,1530716
Putumayo,316399
Quindio,276648
Risaralda,1836182
San Andres y Providencia,52813
Santander,3544581
Sucre,781137
Tolima,1217688
Unknown,2098
Valle del Cauca,4130429
Vaupes,945
Vichada,7495
