Location name,Amount spent (IDR)
Aceh,898304
Bali,1522697
Bangka–Belitung Islands,465670
Banten,2641430
Bengkulu,953749
Central Java,9278912
Central Kalimantan,899183
Central Sulawesi,1168931
East Java,8810148
East Kalimantan,1701454
East Nusa Tenggara,2001144
Gorontalo,890454
Jakarta,7044472
Jambi,1226420
Lampung,1907574
Maluku,681145
North Kalimantan,284962
North Maluku,500094
North Sulawesi,3687212
North Sumatra,4168005
Papua (province),961002
Riau,2127983
Riau Islands Province,853966
South Kalimantan,1017957
South Sulawesi,2945858
South Sumatra,2571645
Southeast Sulawesi,862454
Special Region of Yogyakarta,1563125
Unknown,3847
West Java,11868338
West Kalimantan,1836399
West Nusa Tenggara,1739720
West Papua,468912
West Sulawesi,497789
West Sumatra,1406661
