Location name,Amount spent (DKK)
Capital Region of Denmark,26594
Central Denmark Region,12882
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,5418
Region of Southern Denmark,11678
Unknown,≤100
Zealand Region,7921
