Page ID,Page name,Disclaimer,Amount spent (PLN),Number of ads in Library
104884392877324,Alivia,Alivia - Fundacja Onkologiczna,4327,5
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,2998,31
176114889652,Kancelaria Premiera,Kancelaria Premiera,2804,11
426784938154184,PrzyjacieleZwierzat.pl,PrzyjacieleZwierzat.pl,1315,23
57544755889,Amnesty International Polska,Amnesty International Polska,1265,28
469702339755768,Paweł Tanajno Polska Liberalna,Iam4u.pl,948,128
196334343778888,Polskie Centrum Pomocy Międzynarodowej (PCPM),PCPM with Facebook ad credits,865,24
111465470197991,Mateusz Morawiecki,Mateusz Morawiecki,839,12
228168274881,wysokieobcasy,wysokieobcasy,820,11
513969188677442,Compassion Polska,Compassion Polska,645,18
339855706171439,Dobra Fabryka,Dobra Fabryka,595,12
160181130796814,Fundacja ADRA Polska - ADRA Poland,Fundacja ADRA Polska,544,1
178362315106,European Parliament,European Parliament,477,4
180185019111,Tygodnik Powszechny,Tygodnik Powszechny,453,16
273827962690526,Otwarte Klatki,Otwarte Klatki,435,2
54779960819,United Nations,United Nations with Facebook Ad Credits,367,9
63044235866,UN Climate Change,UN Climate Change with Facebook Ad Credits,365,4
142614625077,WWF Polska,WWF Polska,342,6
102792325966064,Kopalnia kitu,Kopalnia Kitu (DoubleD Marketing),325,5
50063176484,TVN24,TVN,324,16
191399134327652,aramco,These ads ran without a disclaimer,320,4
1683534065241470,OKO.press,OKO.press,313,8
475584852475176,Pozytron,Bartłomiej Jan Ginter,258,8
295161506338,AKADEMIA PRZYSZŁOŚCI,Stowarzyszenie Wiosna,238,29
1477251852486946,Kosma Złotowski,Grupa Europejskich Konserwatystów i Reformatorów,234,11
345491219548126,EKOVO,These ads ran without a disclaimer,225,1
111778487054045,TOGETAIR,Kamil Magot,218,1
157255317751718,Kancelaria Mentzen,Kancelaria Mentzen,217,16
432445257544169,Global City Community,These ads ran without a disclaimer,215,10
107396187476330,LUX MED Stomatologia,"LUX MED Sp. z o.o.,",214,9
137358556439286,Ośrodek Monitorowania Zachowań Rasistowskich i Ksenofobicznych,Ośrodek Monitorowania Zachowań Rasistowskich i Ksenofobicznych,213,5
1482815178622419,"Fundacja na Rzecz Seniorów ""Bonum Vitae""",These ads ran without a disclaimer,209,1
163064650412661,Teatr Powszechny w Łodzi,Teatr Powszechny w Łodzi,185,3
