Location name,Amount spent (TND)
Ariana Governorate,348
Ben Arous Governorate,488
Bizerte Governorate,404
Béja Governorate,156
Gabès Governorate,290
Gafsa Governorate,219
Jendouba Governorate,149
Kairouan Governorate,241
Kasserine Governorate,156
Kebili Governorate,122
Kef Governorate,109
Mahdia Governorate,243
Manouba Governorate,199
Medenine Governorate,406
Monastir Governorate,504
Nabeul Governorate,544
Sfax,574
Sidi Bouzid Governorate,160
Siliana Governorate,≤100
Sousse Governorate,594
Tataouine Governorate,≤100
Tozeur Governorate,≤100
Tunis Governorate,1477
Unknown,≤100
Zaghouan Governorate,≤100
