Location name,Amount spent (CZK)
Central Bohemian Region,7287
Hradec Králové Region,2938
Karlovy Vary Region,1907
Liberec Region,2571
Moravian-Silesian Region,6406
Olomouc Region,4127
Pardubice Region,3277
Plzeň Region,3982
Prague,15790
South Bohemian Region,3475
South Moravian Region,8502
Unknown,≤100
Vysočina Region,2451
Zlín Region,3629
Ústí nad Labem Region,5520
