Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,253
Bangkok,5103
Bueng Kan,≤100
Buriram,187
Chachoengsao,180
Chai Nat,155
Chaiyaphum,169
Chanthaburi,137
Chiang Mai,1227
Chiang Rai,212
Chon Buri,527
Chumphon,137
Kalasin,110
Kamphaeng Phet,≤100
Kanchanaburi,274
Khon Kaen,367
Krabi,101
Lampang,129
Lamphun,≤100
Loei,≤100
Lop Buri,143
Mae Hong Son,≤100
Maha Sarakham,139
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,258
Nakhon Phanom,102
Nakhon Ratchasima,523
Nakhon Sawan,473
Nakhon Si Thammarat,302
Nan,≤100
Narathiwat,180
Nong Bua Lam Phu,≤100
Nong Khai,≤100
Nonthaburi,490
Pathum Thani,272
Pattani,388
Phangnga,≤100
Phatthalung,132
Phayao,≤100
Phetchabun,129
Phetchaburi,127
Phichit,≤100
Phitsanulok,312
Phrae,≤100
Phuket,210
Prachin Buri,176
Prachuap Khiri Khan,131
Ranong,≤100
Ratchaburi,183
Rayong,278
Roi Et,177
Sa Kaeo,≤100
Sakon Nakhon,186
Samut Prakan,260
Samut Sakhon,260
Samut Songkhram,≤100
Saraburi,193
Satun,≤100
Sing Buri,≤100
Sisaket,188
Songkhla,2481
Sukhothai,≤100
Suphan Buri,154
Surat Thani,332
Surin,185
Tak,≤100
Trang,122
Trat,≤100
Ubon Ratchathani,245
Udon Thani,224
Unknown,≤100
Uthai Thani,≤100
Uttaradit,≤100
Yala Province,235
Yasothon,≤100
