Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,185
Apurímac Region,≤100
Arequipa Region,319
Ayacucho Region,110
Cajamarca Region,260
Callao,106
Cusco Region,304
Huancavelica Region,≤100
Huánuco Region,101
Ica Region,163
Junín Region,202
La Libertad Region,342
Lambayeque Region,227
Lima Region,1780
Loreto Region,134
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,310
Puno Region,301
San Martín Region,159
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,104
Unknown,≤100
