Location name,Amount spent (UYU)
Artigas Department,274
Canelones Department,652
Cerro Largo Department,257
Colonia Department,356
Durazno Department,157
Flores Department,106
Florida Department,154
Lavalleja Department,216
Maldonado Department,347
Montevideo Department,3097
Paysandú Department,1498
Rivera Department,1120
Rocha Department,165
Río Negro Department,144
Salto Department,321
San José Department,143
Soriano Department,156
Tacuarembó Department,210
Treinta y Tres Department,300
Unknown,≤100
