Location name,Amount spent (CHF)
Aargau,380
Appenzell Ausserrhoden,≤100
Appenzell Innerrhoden,≤100
Basel-City,160
Basel-Landschaft,≤100
Bern,339
Canton of Geneva,3899
Canton of Glarus,≤100
Canton of Nidwalden,≤100
Canton of Obwalden,≤100
Canton of St. Gallen,173
Fribourg,189
Graubünden,≤100
Jura,≤100
Luzern,4876
Neuchâtel,≤100
Schaffhausen,≤100
Schwyz,≤100
Solothurn,≤100
Thurgau,≤100
Ticino,1581
Unknown,≤100
Uri,≤100
Valais,137
Vaud,445
Zug,≤100
Zürich,635
