Location name,Amount spent (USD)
Al Anbar Governorate,107
Al-Qādisiyyah Governorate,≤100
Babil Governorate,≤100
Baghdad Governorate,414
Basra Governorate,≤100
Dhi Qar Governorate,≤100
Diyala Governorate,≤100
Dohuk Governorate,148
Erbil Governorate,361
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,116
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,234
Saladin Governorate,≤100
Sulaymaniyah Governorate,340
Unknown,≤100
Wasit Governorate,≤100
