Page ID,Page name,Disclaimer,Amount spent (CLP),Number of ads in Library
108922248816222,Secretaría de Participación Ciudadana,Secretaría de Participación Ciudadana,1391461,24
108291914947259,Mi Derecho a Educar,Felipe Varela,375000,1
1445910269057442,Desarrolla Biobío,Roberto Rolando Moreno Arenas,338896,4
78617029137,Greenpeace Chile,Fundación Greenpeace Pacífico Sur,284836,6
504040153015857,Francesca MUÑOZ Diputada Distrito 20,Francesca Muñoz,101284,2
113924653318737,ICF,ICF,84530,3
104189318481439,Minería y Futuro,Mineria y Futuro,64941,5
349984615155,Arauco Maipú,Arauco Maipú,47936,2
56243398247,Parque Arauco,Parque Arauco,47124,2
558224964238853,Anglo American,Anglo American,46169,2
199662160160090,Arauco Quilicura,Arauco Quilicura,40624,2
121500767864992,Arauco San Antonio,Arauco San Antonio,39812,2
1157078510981546,Corporación Municipal Gabriel González Videla,Corporación Municipal Gabriel González Videla,35655,3
228557190541436,BancoEstado,BancoEstado,32719,8
246478779511291,Lex Grupo Abogados,Lex Grupo Abogados,29720,1
154785904692548,SalmonChile,SalmonChile,28437,1
756450494522524,Andrés Jouannet Diputado,Andrés Alfonso Jouannet Valderrama,27624,4
463509033710164,Walmart Chile Vivamos Mejor,Walmart Chile,25399,2
105216321995280,Pivotes_cl,Fundación Pivotes,25187,5
103527991214141,Cero DICOM,Cero Dicom,21627,7
386423238164424,Enel Chile,Enel Chile,21440,1
143360859486032,Alejandro Bernales Maldonado,Alejandro Bernales Maldonado,20393,1
1548643738480723,Asistencia Deudores,Asistencia Deudores,19447,2
78239901502,Diario Financiero,Grupo DF,18915,39
1436530563295625,El Líbero,Sociedad Periodística El Líbero S.A,18591,3
105798328215264,Asistencia Familia,Asistencia Familia,15626,4
118974348725735,Nataly Campusano,Nataly Campusano Díaz,15583,2
311368549779237,Orizon,Orizon,15139,1
419006974914571,Facultad de Agronomía e Ingeniería Forestal UC,Facultad de Agronomía e Ingeniería Forestal UC,14781,2
105783868682878,Asistencia Tesorería,Asistencia Tesoreria,13622,10
429657563782175,Vlado Mirosevic Verdugo,Vlado Mirosevic Verdugo,12187,4
100645555080281,Academia Nacional de Litigación,Academia Nacional de Litigación,11627,8
293103284121826,Fundación Para el Progreso,Fundación Para el Progreso,11136,8
1447342118848920,Universidad Adolfo Ibañez,Universidad Adolfo Ibáñez,10952,1
411851492489649,Somos CMPC,CMPC,10763,1
105216102185508,Cvr_abogados,Cvr_abogados,9951,1
102422525535808,FARMACIAS PUNTO BLANCO,Ranko Frane Lenac Pizarro,9349,3
100212501623545,Liset Quilodrán Consejera constitucional,Paulina Andrea González Vargas,8223,1
865983193415410,Entel Empresas,These ads ran without a disclaimer,8125,1
105844671644804,Senado_abierto,Senado Abierto,7770,1
1567607313249689,Cristobal Martinez Diputado,Cristián Rodríguez,7000,1
343265652503533,Municipalidad de Puchuncaví,Ilustre Municipalidad de Puchuncaví,6959,5
541390972732127,Consejero Regional Rodrigo Vera,Rodrigo Vera Riquelme,6931,2
145925692108470,Educación Continua UC Temuco,UNIVERSIDAD CATÓLICA DE TEMUCO,6853,2
438330923602981,Libres Chile,Libres Chile,6284,14
207212363097967,Senador José Durana Semir - XV,José Miguel Alberto Durana Semir,5312,1
113540781539326,Workmed,Workmed,5074,2
100702245161627,Norma Córdova,Norma Córdova,4939,2
486113348433421,Ximena Ordenes Neira,Ximena Ordenes,4855,10
111099218377933,Benjamín Moreno Diputado,Benjamín Moreno Bascur,4313,2
106088671518497,Agustín Iglesias Concejal Independencia,Agustin Ignacio Iglesias Munoz,4167,2
2323150114633753,CChC La Serena,Cristian Andrés Gajardo Jeria,3965,2
107356788964003,ricfabelo1973,These ads ran without a disclaimer,3828,1
104684192398328,Francisco Corral Macías,Gerard Henri Joffre Pavez,3775,3
226593947367922,Cultiva,Brotar,3689,3
102219405228604,Marcela Riquelme Aliaga - Diputada Distrito 15,Marcela Patricia Riquelme Aliaga,3290,1
307330256067716,Red Atacama,Diarios en Red,3250,2
100925928305320,SOMOS,Anabella Iris Ballesteros Rebollo,3240,1
101180752297383,Gustavo Benavente Diputado,Gustavo Adolfo Alberto Benavente Vergara,3000,1
239724839481005,Municipalidad de Vicuña,Brecha Digital Consultores,2975,3
107151670642286,Al Aguaite Sin Censura,Maxi Agustin Soto Yañez,2725,1
727274947350582,Diario Tierramarillano,Diario Tierramarillano,2433,3
112948331041597,Centro de Energía - FCFM - Universidad de Chile,María Giselle Ogaz Norambuena,2383,1
317209815074690,Diario La Batalla de Maipú,Diario La Batalla de Maipú,2335,3
120295334652273,Enrique Van Rysselberghe Herrera,Enrique Van Rysselberghe Herrera,2322,3
300345197052910,Pablo Gutierrez Core,Germán Antonio Sepúlveda Mellado,2320,5
1242000152517734,WoomUp,These ads ran without a disclaimer,2302,1
106580054753486,Krist Naranjo Gobernadora Independiente Región  De Coquimbo,Krist Pia NIcole Naranjo Peñaloza,2259,3
478976528820583,I. Municipalidad de La Granja,Brecha Digital Consultores Ltda.,2242,4
212672485793114,Frank Sauerbaum,Frank Carlos Sauerbaum Muñoz,2222,1
1544524942457436,Iván Flores García,Iván Alberto Flores García,2156,1
108158690830412,MisClases,MisClases,2103,2
559184860928790,Pablo Contreras Cortinez,Pablo Andres Contreras Cortinez,2014,1
103030962615298,Chile YAAC,Chile YAAC,1990,2
219712932022524,Evopoli Provincia Aysen,Maria Loreta Villegas Almonacid,1858,2
371453409556353,Red Coquimbo,Diarios en Red,1682,1
107843817654667,Marcela Mansilla Potocnjak,Rodrigo Alejandro Niño Carrasco,1666,1
351583768232100,Red Tarapaca,Diarios en Red,1617,1
533120143554429,Corporación de Deportes Calama,Corporación de Deportes Calama,1438,1
101579022115580,Javiera Morales Alvarado,Javiera Morales Alvarado,1392,1
285417644878678,Red Antofagasta,Diarios en Red,1381,1
110951722267366,World Vision Chile,World Vision Chile,1323,1
588254484649623,Pablo Gonzalez - Concejal,Pablo Andrés González Vega,1202,1
108523631002340,Loreta Villegas- Consejera Regional Aysen,Maria Loreta Villegas Almonacid,1122,2
100691588652796,Enrique Soto Díaz - Concejal,Enrique Alejandro Soto Díaz,938,1
109416599136825,El Diario de Antofagasta,El Diario de Antofagasta,812,3
102208981705495,La gotita Chile,These ads ran without a disclaimer,796,1
1164526883619039,Joel Olmos E. Alcalde de La Cisterna,Joel Andrés Olmos Espinoza,772,1
100904822517086,Non-trivial,These ads ran without a disclaimer,614,3
1832817333710502,Diario ID,Cesar Enrique Alvarez Castillo,537,1
111323908481002,Comando de voz,Mario Vilches,489,1
108033654357334,Ocho comunicaciones,These ads ran without a disclaimer,434,1
318714362056880,TVR Ñuble,Nelson Julián Miranda Gómez,426,1
101713409263913,Genaro humor,These ads ran without a disclaimer,373,1
100585876396939,selenaryan,These ads ran without a disclaimer,285,1
1685755648327288,QMode,These ads ran without a disclaimer,208,1
104085155608596,Gilda_Mendoza,These ads ran without a disclaimer,194,1
