Location name,Amount spent (ISK)
Capital Region,64536
Eastern Region,8600
Northeastern Region,12288
Northwestern Region,5648
Southern Peninsula,20031
Southern Region,10664
Unknown,≤100
Western Region,15414
Westfjords,5166
