Page ID,Page name,Disclaimer,Amount spent (ILS),Number of ads in Library
107217383988190,מגזין אפוק,Epoch Magazine,6741,85
103851839280828,חופשי בארצנו - מטה המאבק,מטה המאבק - נלחמים על הדמוקרטיה,2085,54
199381213757428,שי קינן - shai keinan,שי קינן - shai keinan,1666,5
219091481560790,מרים פיירברג - איכר,נתניה אחת,1587,4
1662907067255622,איגוד הגז הטבעי,Unik,1423,4
500238833397356,ציפי ברנד,ציפי ברנד,1422,30
1534418936869034,אתר החדשות דבר,אתר החדשות דבר,1322,19
103428925850338,אבי סלמה - נתניה,אבי סלמה - נתניה,1299,4
428948830813584,"מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן","מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן",1168,22
1073548259341247,לובי 99,לובי 99,1092,3
249479152534875,Kfir Swisa - כפיר סויסה,Kfir Swisa - כפיר סויסה,1055,4
113842953300993,מצלמת אבטחה ונסיעה לרכב Proof,These ads ran without a disclaimer,1010,1
204780362875106,מקור ראשון,מקור ראשון,941,68
380816475304653,Yuval zellner - יובל צלנר,Yuval zellner - יובל צלנר,928,3
109242871232111,מתן בארי,מתן בארי,899,2
116563891775107,עיריית פתח תקווה,עיריית פתח תקוה,898,31
141721971504,Histadrut - ההסתדרות החדשה,Histadrut - ההסתדרות החדשה,879,4
138399090105076,הבנק החברתי למזון תינוקות,הבנק החברתי למזון תינוקות,828,2
132107110817900,"מרכז הנדל""ן","מרכז הנדל""ן",827,18
493870400705407,"ד""ר אלי לחמני","ד""ר אלי לחמני",813,2
2000794536638986,אהרון אורגד - מחוברים למען נתניה,אהרון אורגד - מחוברים למען נתניה,750,7
104405316012511,עליזה בלוך - Aliza Bloch,עליזה בלוך,736,18
44385426513,Greenpeace Israel   - גרינפיס ישראל,Greenpeace Israel   - גרינפיס ישראל,720,15
295211077200566,מרצ כפר סבא,מרצ כפר סבא,672,8
124191360932729,התעוררות בירושלים,התעוררות בירושלים,665,8
160119221434385,דוד עציוני -ראש העיר חיפה,דוד עציוני -ראש העיר חיפה,650,3
175285029214345,הציונות הדתית,ציונות דתית,646,12
108787681841168,רישיון נשק בקליק,רישיון נשק בקליק,611,2
112848572066805,מחאת ההייטק,מחאת ההייטק,605,19
114201461733889,"מיכאל וידל- ראש עיריית רמלה, העמוד הפוליטי",ראש העיר מיכאל וידל,603,2
117177111377152,Шломи Лахьяни,שלומי לחיאני,599,1
124395890927240,הקרן החדשה לישראל,הקרן החדשה לישראל,595,19
143563882388180,עיריית אשקלון,עיריית אשקלון,589,3
877405719007268,מכון ארגמן - Argaman Institute,מכון ארגמן,576,40
1915868198652314,האם ראית את האופק לאחרונה?,האם ראית את האופק לאחרונה?,574,5
108714485611920,רמי גרינברג ראש עיריית פתח תקווה - סיעת התחדשות למועצת העיר,רמי גרינברג ראש עיריית פתח תקווה - סיעת התחדשות למועצת העיר,564,2
112169951926386,אלון רוזן,אלון רוזן,547,1
115456451553737,יונה יהב,יונה יהב,529,8
251119721945461,אופיר סופר - Ofir Sofer,"ח""כ אופיר סופר",513,4
104404418153739,דנית ברביבאי,דנית ברביבאי,500,2
106729829160918,גייל שורש לראשות העיר רמת השרון,free ramat hasharon,499,6
107124799990825,חן שרייבר-נשיא לשכת רואי החשבון בישראל,חן שרייבר,484,6
936130799779065,עו״ד אלברט טייב בשביל הכפר,עו״ד אלברט טייב בשביל הכפר,468,3
