Location name,Amount spent (PYG)
Alto Paraguay Department,32586
Alto Paraná Department,313488
Amambay Department,35873
Asunción,656099
Boquerón department,29828
Caaguazú Department,108143
Caazapá Department,29981
Canindeyú Department,40278
Central Department,2951756
Concepción Department (Paraguay),48260
Cordillera Department,100526
Guairá Department,42514
Itapúa Department,133913
Misiones Department,95643
Paraguarí Department,104659
Presidente Hayes Department,40867
San Pedro Department,65511
Unknown,750
Ñeembucú Department,117126
