Location name,Amount spent (USD)
Alabama,8227
Alaska,2389
American Samoa,≤100
Arizona,22233
Arkansas,5453
California,92823
Colorado,12965
Connecticut,7150
Delaware,2143
Florida,51984
Georgia,21269
Guam,116
Hawaii,3504
Idaho,5060
Illinois,27726
Indiana,15264
Iowa,8087
Kansas,6777
Kentucky,8984
Louisiana,12976
Maine,4268
Maryland,20269
Massachusetts,16951
Michigan,27476
Minnesota,11779
Mississippi,7239
Missouri,14950
Montana,2583
Nebraska,3595
Nevada,5291
New Hampshire,3068
New Jersey,27230
New Mexico,5776
New York,50183
North Carolina,24487
North Dakota,1719
Northern Mariana Islands,≤100
Ohio,24765
Oklahoma,9739
Oregon,14270
Pennsylvania,29143
Puerto Rico,≤100
Rhode Island,2181
South Carolina,9818
South Dakota,1473
Tennessee,15723
Texas,74213
Unknown,≤100
Utah,7315
Vermont,1939
Virgin Islands (U.S.),≤100
Virginia,31145
Washington,22496
"Washington, District of Columbia",15813
West Virginia,4687
Wisconsin,16528
Wyoming,1205
