Location name,Amount spent (MXN)
Aguascalientes,6478
Baja California,23307
Baja California Sur,2729
Campeche,24859
Chiapas,11406
Chihuahua,24999
Coahuila de Zaragoza,122746
Colima,4011
Distrito Federal,134978
Durango,5823
Guanajuato,56369
Guerrero,8474
Hidalgo,7729
Jalisco,126948
Michoacán de Ocampo,20852
Morelos,21851
Nayarit,3828
Nuevo León,87311
Oaxaca,8557
Puebla,21925
Querétaro Arteaga,15116
Quintana Roo,29777
San Luis Potosi,11617
Sinaloa,9006
Sonora,16961
State of Mexico,78461
Tabasco,4804
Tamaulipas,15805
Tlaxcala,3923
Unknown,≤100
Veracruz,22125
Yucatán,21284
Zacatecas,3736
