Location name,Amount spent (SEK)
Blekinge County,8102
Dalarna County,15898
Gotland County,3823
Gävleborg County,15341
Halland County,16537
Jämtland County,7279
Jönköping County,17615
Kalmar County,11560
Kronoberg County,8986
Norrbotten County,13735
Skåne County,68407
Stockholm County,123951
Södermanland County,15058
Unknown,≤100
Uppsala County,20485
Värmland County,14376
Västerbotten County,14192
Västernorrland County,12959
Västmanland County,13661
Västra Götaland County,99304
Örebro County,15437
Östergötland County,21675
