Location name,Amount spent (PYG)
Alto Paraguay Department,49250
Alto Paraná Department,4090225
Amambay Department,471014
Asunción,3401114
Boquerón department,254827
Caaguazú Department,2370670
Caazapá Department,446341
Canindeyú Department,491961
Central Department,9319953
Concepción Department (Paraguay),548015
Cordillera Department,808920
Guairá Department,575990
Itapúa Department,1597471
Misiones Department,505910
Paraguarí Department,529321
Presidente Hayes Department,334623
San Pedro Department,1419799
Unknown,≤100
Ñeembucú Department,438090
