Location name,Amount spent (PLN)
Greater Poland Voivodeship,3513
Kuyavian-Pomeranian Voivodeship,2184
Lesser Poland Voivodeship,3400
Lower Silesian Voivodeship,2680
Lublin Voivodeship,1444
Lubusz Voivodeship,813
Masovian Voivodeship,6278
Opole Voivodeship,686
Podkarpackie Voivodeship,1394
Podlaskie Voivodeship,888
Pomeranian Voivodeship,2678
Silesian Voivodeship,4066
Unknown,≤100
Warmian-Masurian Voivodeship,1269
West Pomeranian Voivodeship,1762
Łódź Voivodeship,2326
Świętokrzyskie Voivodeship,831
