Location name,Amount spent (ARS)
Buenos Aires,1939743
Catamarca,82540
Chaco,336886
Chubut,125917
Ciudad Autónoma de Buenos Aires,919222
Corrientes,292092
Córdoba,2520115
Entre Rios,217464
Formosa,150079
Jujuy,49387
La Pampa,49249
La Rioja,37728
Mendoza,754195
Misiones,76961
Neuquén,85081
Río Negro,77852
Salta,92561
San Juan,175370
San Luis,486215
Santa Cruz,61777
Santa Fe,715969
Santiago del Estero,57526
Tierra del Fuego,19904
Tucuman,299424
Unknown,196
