Page ID,Page name,Disclaimer,Amount spent (DKK),Number of ads in Library
133707013355759,Danner,Danner,964,1
302430309859808,Batavia Media,Batavia Media,949,4
372025753616,PFA Brug Livet Fonden,PFA Brug Livet Fonden,835,3
102154048301476,Lederstof.dk,Lederne,819,20
246977185497434,Plastic Change,Plastic Change,812,19
350495955072656,Klimabevægelsen i Danmark,Klimabevægelsen i Danmark,775,4
459641371068935,Forenet Kredit,Forenet Kredit,742,2
100423681446198,Virksomhedsguiden,Erhvervsstyrelsen,727,5
126543540781090,Ældre Sagen,Ældre Sagen,687,29
304554445813,Videncentret Bolius,Bolius,671,3
748887235210811,Obton Forvaltning A/S,Obton A/S,630,7
109012749124622,3F - Gør dig stærkere.,3F - Danmarks Stærkeste Fagforening,630,14
21465928829,"Venstre, Danmarks Liberale Parti","Venstre, Danmarks Liberale Parti",579,7
154415494575789,IDA,IDA,576,4
142831282424266,Åbent Landbrug,Landbrug & Fødevarer,564,10
20303574131,Nationalmuseet,Nationalmuseet,522,26
105511328705392,HØRT,Børns Vilkår,487,4
167891603415958,Lederne,Lederne,483,6
110339967042411,LastObject,These ads ran without a disclaimer,477,1
202627126417910,TAXA 4x35,Sammenslutningen Taxa 4x35,477,2
134531969945616,Folkebevægelsen mod EU,Folkebevægelsen mod EU,465,3
146458868730806,ROSE - Dansk kylling siden 1952,HKScan Denmark A/S,461,10
287306323369,Børnecancerfonden,Børnecancerfonden,435,2
520449347983427,Dansk Folkeparti,Dansk Folkeparti,418,1
437410226312057,Københavns Kommune,Københavns Kommune,409,3
529124290474705,Nikolaj Villumsen,Enhedslisten,390,1
12860228293,Politiken,These ads ran without a disclaimer,372,2
1704424023182897,Politiken Historie,Politiken Historie,333,15
223040066022,Enhedslisten,Enhedslisten,317,2
239624940212,HK Kommunal,HK Kommunal,311,2
107321098977584,Elisa Rimpler,BUPL,308,1
852608988134698,Tikko,Tikko,304,10
657491824390744,Spring Copenhagen,Spring Copenhagen,271,19
63691965101,UNICEF Danmark,UNICEF Danmark,251,7
820072291706919,Sundhedstv,These ads ran without a disclaimer,226,1
356520931077196,Europabevægelsen,Europabevægelsen,224,6
1405355586351630,Carlsbergfondet,Carlsbergfondet,210,4
264009771074617,Niels Fuglsang,Niels Fuglsang,202,6
246097715413231,Alkohol & Samfund,Alkohol & Samfund,201,7
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,200,2
133646853348352,Enghave Barok,Enghave Barok,168,1
185888988175423,Netavisen Pio,Netavisen Pio,164,3
1471913586453233,Organdonation - ja tak,Organdonation - ja tak,152,1
334571029981175,DM og MA studerende,DM,138,2
186645960378,Danwatch,Danwatch,136,7
167887506877,AIDS-Fondet,AIDS-Fondet,136,1
107898832590939,European Commission,European Commission,134,2
369336273158091,Land of Hope,Land of Hope,132,8
67571270393,Red Barnet,Red Barnet,131,3
591683257511399,Sprøjtefri - Nej til sprøjtegifte i haven,VPU - Vandværkerne i Aarhus,129,3
314676938743,DM din akademiske fagforening,DM,122,6
341299649231023,Zetland,Zetland,120,8
217135424459,Karen Blixen Museum,Karen Blixen Museum,119,2
990998001028850,Folkekirken Vesterbro,Folkekirken Vesterbro,114,2
376442055780548,"Søren Søndergaard, formand for Landbrug & Fødevarer",Landbrug & Fødevarer,113,1
144098125661833,Nordea Invest,Nordea Invest,112,3
336333896418452,Assens Kommune,Assens Kommune,106,3
167412043730,Venstres Ungdom - VU,Venstres Ungdom - VU,≤100,1
182121298931589,Odense Kommune,Odense Kommune,≤100,1
1684646181850363,TjekDet,TjekDet,≤100,1
880444655649267,Rasmus Steenberger,Rasmus Steenberger,≤100,2
360787567740895,Volt Danmark,Volt Danmark,≤100,1
203700576325922,Koda,Koda,≤100,1
862049590591113,Lærerstandens Brandforsikring,Lærerstandens Brandforsikring,≤100,1
142641498926,Fairtrade-mærket Danmark,Fairtrade Danmark,≤100,11
398144900313793,"Mads Præstegaard, SF Roskilde Byråd",SF Roskilde,≤100,2
367522986719919,Gastech-Energi,Gastech-Energi A/S,≤100,3
129940943738051,Odense ser Rødt,Odense ser Rødt,≤100,3
615028135227297,Institut for psykosomatik og følelsesforløsning,These ads ran without a disclaimer,≤100,1
100263786205970,Job i Altiden,Altiden Ekko,≤100,4
390925417751473,Erling Bonnesen,Erling Bonnesen,≤100,2
116061635098137,Karina Lorentzen Dehnhardt,SF,≤100,1
174887643104,Sisse Marie Welling,SF København,≤100,1
137743846388571,Venstres Ungdom i Viborg,Venstres Ungdom i Viborg,≤100,1
110721302396563,Agri Nord,Agri Nord,≤100,1
472848442798724,Socialdemokratiet i Ringkøbing-Skjern,Socialdemokratiet i Ringkøbing-Skjern,≤100,1
101286428483346,Annette Blynel,SF - Socialistisk Folkeparti,≤100,3
146956228206,Red Barnet Ungdom,Red Barnet Ungdom,≤100,1
253132104886911,Kvisten,Kvisten,≤100,1
257730662802548,Mission10forty,Mission10forty.org,≤100,4
1017666944935541,Venstre Gladsaxe,Venstre Gladsaxe,≤100,1
101875815016312,Caroline Victoria Christensen,Caroline Victoria Christensen,≤100,1
106011385624734,Michael Rosenmark - kandidat for Danmarksdemokraterne,Michael Rosenmark,≤100,3
297422283612612,TotalEnergies,TotalEnergies,≤100,2
