Location name,Amount spent (CAD)
Alberta,8723
British Columbia,13538
Manitoba,1576
New Brunswick,1128
Newfoundland and Labrador,609
Northwest Territories,≤100
Nova Scotia,1486
Nunavut,≤100
Ontario,32213
Prince Edward Island,241
Quebec,14059
Saskatchewan,1318
Unknown,≤100
Yukon,140
