Location name,Amount spent (PEN)
Amazonas Region,169
Ancash Region,672
Apurímac Region,234
Arequipa Region,997
Ayacucho Region,415
Cajamarca Region,576
Callao,342
Cusco Region,781
Huancavelica Region,109
Huánuco Region,360
Ica Region,683
Junín Region,768
La Libertad Region,1150
Lambayeque Region,730
Lima Region,6266
Loreto Region,273
Madre de Dios Region,149
Moquegua Region,143
Pasco Region,118
Piura Region,884
Puno Region,740
San Martín Region,439
Tacna Region,300
Tumbes Region,131
Ucayali Region,324
Unknown,≤100
